,PRIO3.SAO,RAIZ4.SAO,ITUB4.SAO,IGTA3.SAO,ARZZ3.SAO,ENGI11.SAO,SLCE3.SAO,WEGE3.SAO,GGBR4.SAO,PSSA3.SAO
2019-10-30,3.7,,30.5011,46.6717,57.724,45.7384,17.5781,12.6708,13.3449,25.269
2019-10-31,3.7,,29.9716,47.0548,58.316,46.1914,17.3105,12.4992,13.3948,25.8086
2019-11-01,3.764,,30.0833,48.1354,61.2959,45.7866,17.6642,12.6855,13.8735,26.0783
2019-11-04,3.872,,30.1827,48.0372,60.1415,44.6588,17.6928,12.808,14.5617,26.1907
2019-11-05,3.806,,30.704,47.0941,59.5001,44.4274,17.3487,13.107,14.7113,25.1791
2019-11-06,3.832,,30.2902,47.5656,59.8751,45.5841,17.5017,13.3178,14.6914,25.1746
2019-11-07,3.946,,30.4723,47.7228,59.1547,45.9697,17.6737,13.7687,15.2898,25.251
2019-11-08,3.96,,30.0171,46.2689,58.7107,45.3046,17.645,13.8423,15.21,25.3544
2019-11-11,3.908,,30.1496,46.1903,59.1054,46.2878,17.9796,14.2589,15.2399,25.3455
2019-11-12,3.872,,29.6364,45.5027,58.168,46.4517,17.7789,13.9697,15.29,25.7007
2019-11-13,3.856,,29.3385,44.9722,58.612,45.7191,17.645,14.3177,15.32,25.4489
2019-11-14,3.892,,29.5289,45.6697,59.8652,46.8758,17.2818,14.3422,15.44,25.2375
2019-11-18,3.878,,29.3964,45.483,59.4804,46.4613,17.3009,14.3618,15.26,25.9659
2019-11-19,3.848,,29.0737,45.1883,59.2139,45.8058,17.2531,14.3128,15.3,26.3256
2019-11-21,3.95,,29.3716,46.4851,62.3024,45.4395,17.3583,14.156,16.45,26.8877
2019-11-22,4.124,,29.5702,46.4851,63.8417,45.0347,17.3487,14.2442,16.69,27.1485
2019-11-25,4.08,,29.1482,46.3966,62.1643,44.7841,17.7502,14.2638,16.8,27.036
2019-11-26,4.262,,28.5523,45.8269,61.8683,44.3889,19.1648,14.0334,17.26,26.3616
2019-11-27,4.23,,28.7178,45.4045,61.3749,44.5335,18.7156,14.2393,17.42,26.6584
2019-11-28,4.4,,28.635,45.9841,61.4538,44.5335,18.4097,14.4255,17.17,26.528
2019-11-29,4.652,,28.8006,46.6226,61.6709,44.3214,18.3524,14.9108,17.0,26.9776
2019-12-02,4.616,,29.1978,47.8407,61.7696,44.3407,18.4193,14.7834,17.45,26.7258
2019-12-03,4.696,,29.2061,48.0372,63.5753,45.0733,18.5818,15.053,17.05,26.8877
2019-12-04,5.098,,30.2571,48.3908,63.8219,46.4999,18.4193,15.597,17.26,27.0091
2019-12-05,4.99,,30.2158,48.8231,64.6123,47.7144,18.5244,16.0627,17.3,26.9866
2019-12-06,5.316,,29.6695,48.6168,67.2797,47.9747,19.0215,16.048,17.6,26.8247
2019-12-09,5.362,,30.2489,48.5382,67.6749,48.1771,19.6714,15.6412,17.18,26.8112
2019-12-10,5.398,,29.8102,48.8722,65.7978,47.9747,19.4038,15.6706,17.67,26.537
